  0.14077050E+03  0.11777778E+02
  0.19748203E+03  0.11777778E+02
  0.12188636E+03  0.16555556E+02
  0.18442166E+03  0.16555556E+02
  0.23988836E+03  0.16555556E+02
  0.99441419E+02  0.21333333E+02
  0.17026462E+03  0.21333333E+02
  0.22908070E+03  0.21333333E+02
  0.28343628E+03  0.21333333E+02
  0.15477989E+03  0.26111111E+02
  0.21765659E+03  0.26111111E+02
  0.27417896E+03  0.26111111E+02
  0.32763427E+03  0.26111111E+02
  0.13758230E+03  0.30888889E+02
  0.20554665E+03  0.30888889E+02
  0.26451814E+03  0.30888889E+02
  0.31949745E+03  0.30888889E+02
  0.11800083E+03  0.35666667E+02
  0.19265436E+03  0.35666667E+02
  0.25442777E+03  0.35666667E+02
  0.31106698E+03  0.35666667E+02
  0.36496076E+03  0.35666667E+02
  0.94680001E+02  0.40444444E+02
  0.17884700E+03  0.40444444E+02
  0.24387469E+03  0.40444444E+02
  0.30233143E+03  0.40444444E+02
  0.35744544E+03  0.40444444E+02
  0.41056578E+03  0.40444444E+02
  0.16393692E+03  0.45222222E+02
  0.23281769E+03  0.45222222E+02
  0.29327686E+03  0.45222222E+02
  0.34969547E+03  0.45222222E+02
  0.40377215E+03  0.45222222E+02
  0.45634025E+03  0.45222222E+02
  0.14764518E+03  0.50000000E+02
  0.22120544E+03  0.50000000E+02
  0.28388681E+03  0.50000000E+02
  0.34170445E+03  0.50000000E+02
  0.39678933E+03  0.50000000E+02
  0.45014901E+03  0.50000000E+02
